Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Micromesistius,australis,-48.25,171.25,3417:381:1,0.04
Micromesistius,australis,-48.25,172.25,3417:382:1,0.09
Micromesistius,australis,-48.25,172.75,3417:382:2,0.03
Micromesistius,australis,-48.25,173.75,3417:383:2,0.18
Micromesistius,australis,-48.25,174.25,3417:384:1,0.04
Micromesistius,australis,-48.25,174.75,3417:384:2,0.13
Micromesistius,australis,-47.75,177.75,3417:477:4,0.1
Micromesistius,australis,-48.25,175.25,3417:485:1,0.13
Micromesistius,australis,-48.75,178.25,3417:488:3,0.12
Micromesistius,australis,-49.25,177.75,3417:497:2,0.19
Micromesistius,australis,-49.75,177.25,3417:497:3,0.02
Micromesistius,australis,-49.25,178.25,3417:498:1,0.18
Micromesistius,australis,-49.75,178.25,3417:498:3,0.15
Micromesistius,australis,-52.25,165.75,3516:225:2,0.02
Micromesistius,australis,-52.25,166.75,3516:226:2,0.02
Micromesistius,australis,-52.25,167.25,3516:227:1,0.13
Micromesistius,australis,-52.75,167.75,3516:227:4,0.08
Micromesistius,australis,-53.25,165.25,3516:235:1,0.1
Micromesistius,australis,-53.25,165.75,3516:235:2,0.1
Micromesistius,australis,-53.75,167.25,3516:237:3,0.13
Micromesistius,australis,-53.75,168.25,3516:238:3,0.19
Micromesistius,australis,-54.25,165.75,3516:245:2,0.11
Micromesistius,australis,-54.75,165.75,3516:245:4,0.05
Micromesistius,australis,-54.25,166.25,3516:246:1,0.17
Micromesistius,australis,-54.25,166.75,3516:246:2,0.05
Micromesistius,australis,-54.75,166.25,3516:246:3,0.04
Micromesistius,australis,-54.75,166.75,3516:246:4,0.08
Micromesistius,australis,-54.25,167.25,3516:247:1,0.17
Micromesistius,australis,-54.25,167.75,3516:247:2,0.1
Micromesistius,australis,-54.75,167.25,3516:247:3,0.14
Micromesistius,australis,-54.75,167.75,3516:247:4,0.12
Micromesistius,australis,-54.25,168.25,3516:248:1,0.07
Micromesistius,australis,-54.25,168.75,3516:248:2,0.1
Micromesistius,australis,-55.25,166.25,3516:456:1,0.03
Micromesistius,australis,-50.25,174.75,3517:104:2,0.19
Micromesistius,australis,-37.75,-54.25,5305:374:3,0.07
Micromesistius,australis,-37.75,-55.75,5305:475:4,0.05
Micromesistius,australis,-38.25,-56.25,5305:486:1,0.13
Micromesistius,australis,-38.25,-56.75,5305:486:2,0.04
Micromesistius,australis,-38.25,-57.25,5305:487:1,0.01
Micromesistius,australis,-38.25,-57.75,5305:487:2,0.05
Micromesistius,australis,-38.75,-57.25,5305:487:3,0.16
Micromesistius,australis,-38.75,-57.75,5305:487:4,0.09
Micromesistius,australis,-38.75,-58.25,5305:488:3,0.03
Micromesistius,australis,-38.75,-58.75,5305:488:4,0.06
Micromesistius,australis,-38.75,-59.25,5305:489:3,0.09
Micromesistius,australis,-38.75,-59.75,5305:489:4,0.01
Micromesistius,australis,-39.75,-55.25,5305:495:3,0.16
Micromesistius,australis,-39.25,-57.75,5305:497:2,0.18
Micromesistius,australis,-39.25,-58.25,5305:498:1,0.12
Micromesistius,australis,-39.25,-58.75,5305:498:2,0.1
Micromesistius,australis,-39.25,-59.25,5305:499:1,0.07
Micromesistius,australis,-39.25,-59.75,5305:499:2,0.03
Micromesistius,australis,-39.75,-59.25,5305:499:3,0.11
Micromesistius,australis,-39.75,-59.75,5305:499:4,0.05
Micromesistius,australis,-39.25,-60.25,5306:390:1,0.01
Micromesistius,australis,-39.75,-60.25,5306:390:3,0.03
Micromesistius,australis,-37.25,-73.75,5307:373:2,0.02
Micromesistius,australis,-37.75,-73.75,5307:373:4,0.15
Micromesistius,australis,-37.25,-74.25,5307:374:1,0.03
Micromesistius,australis,-38.25,-73.75,5307:383:2,0.08
Micromesistius,australis,-39.25,-73.75,5307:393:2,0.11
Micromesistius,australis,-39.75,-73.75,5307:393:4,0.04
Micromesistius,australis,-37.75,-112.75,5311:372:4,0.11
Micromesistius,australis,-37.25,-114.25,5311:374:1,0.04
Micromesistius,australis,-37.25,-114.75,5311:374:2,0.07
Micromesistius,australis,-37.75,-168.25,5316:478:3,0.02
Micromesistius,australis,-38.25,-167.75,5316:487:2,0.08
Micromesistius,australis,-38.75,-167.75,5316:487:4,0.07
Micromesistius,australis,-38.25,-168.25,5316:488:1,0.07
Micromesistius,australis,-38.75,-168.25,5316:488:3,0.02
Micromesistius,australis,-39.25,-167.25,5316:497:1,0.09
Micromesistius,australis,-40.25,-59.75,5405:209:2,0.13
Micromesistius,australis,-46.75,-59.25,5405:469:3,0.02
Micromesistius,australis,-48.25,-58.75,5405:488:2,0.17
Micromesistius,australis,-49.75,-55.25,5405:495:3,0.19
Micromesistius,australis,-40.25,-60.25,5406:100:1,0.07
Micromesistius,australis,-40.75,-60.25,5406:100:3,0.11
Micromesistius,australis,-40.75,-60.75,5406:100:4,0.03
Micromesistius,australis,-40.75,-64.75,5406:104:4,0.01
Micromesistius,australis,-41.25,-60.25,5406:110:1,0.12
Micromesistius,australis,-41.25,-60.75,5406:110:2,0.09
Micromesistius,australis,-41.25,-61.25,5406:111:1,0.01
Micromesistius,australis,-41.75,-61.25,5406:111:3,0.07
Micromesistius,australis,-42.25,-61.75,5406:121:2,0.15
Micromesistius,australis,-42.25,-62.25,5406:122:1,0.08
Micromesistius,australis,-42.25,-62.75,5406:122:2,0.02
Micromesistius,australis,-42.75,-62.75,5406:122:4,0.18
Micromesistius,australis,-42.75,-63.25,5406:123:3,0.08
Micromesistius,australis,-42.75,-63.75,5406:123:4,0.03
Micromesistius,australis,-43.25,-63.25,5406:133:1,0.14
Micromesistius,australis,-43.25,-63.75,5406:133:2,0.06
Micromesistius,australis,-43.25,-64.25,5406:134:1,0.08
Micromesistius,australis,-43.25,-64.75,5406:134:2,0.13
Micromesistius,australis,-41.25,-65.25,5406:215:1,0.08
Micromesistius,australis,-43.25,-65.25,5406:235:1,0.05
Micromesistius,australis,-44.75,-65.25,5406:245:3,0.19
Micromesistius,australis,-47.25,-65.25,5406:475:1,0.14
Micromesistius,australis,-47.75,-65.75,5406:475:4,0.08
Micromesistius,australis,-48.25,-66.75,5406:486:2,0.1
Micromesistius,australis,-49.75,-67.75,5406:497:4,0.14
Micromesistius,australis,-41.75,-73.75,5407:113:4,0.05
Micromesistius,australis,-43.25,-74.25,5407:134:1,0.05
Micromesistius,australis,-43.75,-74.25,5407:134:3,0.12
Micromesistius,australis,-44.75,-73.75,5407:143:4,0.02
Micromesistius,australis,-44.75,-74.25,5407:144:3,0.1
Micromesistius,australis,-45.25,-73.25,5407:353:1,0.03
Micromesistius,australis,-45.25,-73.75,5407:353:2,0.04
Micromesistius,australis,-45.75,-73.25,5407:353:3,0.02
Micromesistius,australis,-45.25,-74.25,5407:354:1,0.1
Micromesistius,australis,-45.75,-74.75,5407:354:4,0.12
Micromesistius,australis,-47.75,-74.75,5407:374:4,0.01
Micromesistius,australis,-46.25,-74.75,5407:364:2,0.05
Micromesistius,australis,-48.75,-74.25,5407:384:3,0.13
Micromesistius,australis,-49.25,-73.75,5407:393:2,0.12
Micromesistius,australis,-49.25,-74.25,5407:394:1,0.19
Micromesistius,australis,-49.75,-74.25,5407:394:3,0.19
Micromesistius,australis,-48.75,-146.75,5414:486:4,0.12
Micromesistius,australis,-41.25,-164.25,5416:114:1,0.09
Micromesistius,australis,-40.75,-165.25,5416:205:3,0.02
Micromesistius,australis,-42.75,-174.25,5417:124:3,0.02
Micromesistius,australis,-42.75,-174.75,5417:124:4,0.04
Micromesistius,australis,-43.25,-174.25,5417:134:1,0.14
Micromesistius,australis,-43.75,-174.25,5417:134:3,0.1
Micromesistius,australis,-42.75,-175.25,5417:225:3,0.04
Micromesistius,australis,-42.75,-175.75,5417:225:4,0.13
Micromesistius,australis,-42.75,-176.25,5417:226:3,0.17
Micromesistius,australis,-42.75,-176.75,5417:226:4,0.14
Micromesistius,australis,-42.75,-177.25,5417:227:3,0.17
Micromesistius,australis,-42.75,-177.75,5417:227:4,0.17
Micromesistius,australis,-42.75,-178.25,5417:228:3,0.18
Micromesistius,australis,-42.75,-179.75,5417:229:4,0.18
Micromesistius,australis,-48.25,-178.75,5417:488:2,0.13
Micromesistius,australis,-48.75,-179.25,5417:489:3,0.09
Micromesistius,australis,-54.75,-34.25,5503:144:3,0.09
Micromesistius,australis,-54.75,-34.75,5503:144:4,0.12
Micromesistius,australis,-53.75,-35.25,5503:235:3,0.13
Micromesistius,australis,-53.25,-36.75,5503:236:2,0.1
Micromesistius,australis,-53.25,-37.25,5503:237:1,0.03
Micromesistius,australis,-54.25,-35.25,5503:245:1,0.19
Micromesistius,australis,-54.75,-38.25,5503:248:3,0.18
Micromesistius,australis,-54.75,-38.75,5503:248:4,0.19
Micromesistius,australis,-54.75,-39.25,5503:249:3,0.15
Micromesistius,australis,-55.25,-34.25,5503:354:1,0.09
Micromesistius,australis,-55.25,-34.75,5503:354:2,0.09
Micromesistius,australis,-55.25,-35.25,5503:455:1,0.11
Micromesistius,australis,-55.25,-35.75,5503:455:2,0.19
Micromesistius,australis,-55.75,-35.25,5503:455:3,0.08
Micromesistius,australis,-55.75,-35.75,5503:455:4,0.08
Micromesistius,australis,-55.25,-36.75,5503:456:2,0.01
Micromesistius,australis,-55.25,-37.75,5503:457:2,0.02
Micromesistius,australis,-56.25,-36.75,5503:466:2,0.02
Micromesistius,australis,-53.75,-40.25,5504:130:3,0.15
Micromesistius,australis,-53.75,-40.75,5504:130:4,0.16
Micromesistius,australis,-53.25,-41.25,5504:131:1,0.17
Micromesistius,australis,-53.75,-41.25,5504:131:3,0.15
